input,tsn_species,tsn_genus,tsn_family,tsn_order,tsn_class,tsn_phylum,tsn_kingdom,species,genus,family,order,class,phylum,kingdom,log
Ephedrus plagiator,0,0,0,0,0,0,0,plagiator,Ephedrus,Braconidae,Hymenoptera,Insecta,Arthropoda,Animalia,Genus found
Praon volucre,0,0,0,0,0,0,0,volucre,Praon,Braconidae,Hymenoptera,Insecta,Arthropoda,Animalia,Genus found
Praon sp nr flavinode,0,0,0,0,0,0,0,,Praon,Braconidae,Hymenoptera,Insecta,Arthropoda,Animalia,Genus found
Alloxysta victrix,0,0,0,0,0,0,0,victrix,Alloxysta,Charipidae,Hymenoptera,Insecta,Arthropoda,Animalia,The name does not match Species
Asaphes vulgaris,0,0,0,0,0,0,0,vulgaris,Asaphes,Pteromalidae,Hymenoptera,Insecta,Arthropoda,Animalia,The name does not match Species
Dendrocerus carpenteri,611221,610695,610669,152741,99208,82696,202423,carpenteri,Dendrocerus,Megaspilidae,Hymenoptera,Insecta,Arthropoda,Animalia,Species found
Dendrocerus aphidum,611211,610695,610669,152741,99208,82696,202423,aphidum,Dendrocerus,Megaspilidae,Hymenoptera,Insecta,Arthropoda,Animalia,Species found
Coruna clavata,0,0,0,0,0,0,0,clavata,Coruna,Pteromalidae,Hymenoptera,Insecta,Arthropoda,Animalia,The name does not match Species
Pachyneuron sp,0,0,0,0,0,0,0,,Pachyneuron,Perilampidae,Hymenoptera,Insecta,Arthropoda,Animalia,The name does not match Species
Spintherus dubius,0,0,0,0,0,0,0,dubius,Spintherus,Pteromalidae,Hymenoptera,Insecta,Arthropoda,Animalia,The name does not match Species
Triaspis floricola,0,0,0,0,0,0,0,floricola,Triaspis,Braconidae,Hymenoptera,Insecta,Arthropoda,Animalia,The name does not match Species
Mesopolobus incultus,0,0,0,0,0,0,0,incultus,Mesopolobus,Pteromalidae,Hymenoptera,Insecta,Arthropoda,Animalia,The name does not match Species
Trichomalus campestris,0,0,0,0,0,0,0,campestris,Trichomalus,Pteromalidae,Hymenoptera,Insecta,Arthropoda,Animalia,The name does not match Species
